"module name","licenses","repository","licenseUrl","parents"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit","https://github.com/alexindigo/asynckit/raw/master/LICENSE","zoonavigator-web"
"autoprefixer@6.7.7","MIT","https://github.com/postcss/autoprefixer","https://github.com/postcss/autoprefixer/raw/master/LICENSE","zoonavigator-web"
"aws-sign2@0.6.0","Apache-2.0","https://github.com/mikeal/aws-sign","https://github.com/mikeal/aws-sign/raw/master/LICENSE","zoonavigator-web"
"aws4@1.6.0","MIT","https://github.com/mhart/aws4","https://github.com/mhart/aws4/raw/master/LICENSE","zoonavigator-web"
"babel-code-frame@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame","https://github.com/babel/babel/tree/master/packages/babel-code-frame","zoonavigator-web"
"babel-generator@6.24.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator","https://github.com/babel/babel/tree/master/packages/babel-generator","zoonavigator-web"
"babel-messages@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-messages","https://github.com/babel/babel/tree/master/packages/babel-messages","zoonavigator-web"
"babel-runtime@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime","https://github.com/babel/babel/tree/master/packages/babel-runtime","zoonavigator-web"
"babel-template@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-template","https://github.com/babel/babel/tree/master/packages/babel-template","zoonavigator-web"
"babel-traverse@6.23.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse","https://github.com/babel/babel/tree/master/packages/babel-traverse","zoonavigator-web"
"babel-types@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-types","https://github.com/babel/babel/tree/master/packages/babel-types","zoonavigator-web"
"babylon@6.16.1","MIT","https://github.com/babel/babylon","https://github.com/babel/babylon/raw/master/LICENSE","zoonavigator-web"
"backo2@1.0.2","MIT","https://github.com/mokesmokes/backo","https://github.com/mokesmokes/backo","zoonavigator-web"
"balanced-match@0.4.2","MIT","https://github.com/juliangruber/balanced-match","https://github.com/juliangruber/balanced-match/raw/master/LICENSE.md","zoonavigator-web"
"base64-arraybuffer@0.1.5","MIT","https://github.com/niklasvh/base64-arraybuffer","https://github.com/niklasvh/base64-arraybuffer/blob/master/LICENSE-MIT","zoonavigator-web"
"base64-js@1.2.0","MIT","https://github.com/beatgammit/base64-js","https://github.com/beatgammit/base64-js/raw/master/LICENSE","zoonavigator-web"
"base64id@1.0.0","MIT","https://github.com/faeldt/base64id","https://github.com/faeldt/base64id/raw/master/LICENSE","zoonavigator-web"
"batch@0.5.3","MIT","https://github.com/visionmedia/batch","https://github.com/visionmedia/batch","zoonavigator-web"
"bcrypt-pbkdf@1.0.1","BSD-3-Clause","","","zoonavigator-web"
