Category,License,Dependency,Notes
CC0,CC0 (http://creativecommons.org/publicdomain/zero/1.0/),org.reactivestreams # reactive-streams # 1.0.0,
GPL,GNU Affero GPL V3 (http://www.gnu.org/licenses/agpl-3.0.html),com.elkozmon # zoonavigator-core_2.11 # 0.0.1-SNAPSHOT,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-classic # 1.2.1,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-core # 1.2.1,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/lgpl.txt),net.sourceforge.cssparser # cssparser # 0.9.18,
LGPL,"LGPL, version 2.1 (http://www.gnu.org/licenses/licenses.html)",net.java.dev.jna # jna # 4.1.0,
LGPL,"LGPL, version 2.1 (http://www.gnu.org/licenses/licenses.html)",net.java.dev.jna # jna-platform # 4.1.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-core_2.11 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-free_2.11 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-jvm_2.11 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-kernel-laws_2.11 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-kernel_2.11 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-laws_2.11 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-macros_2.11 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats_2.11 # 0.9.0,
MIT,MIT (http://www.opensource.org/licenses/mit-license.php),org.typelevel # discipline_2.11 # 0.7.2,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # machinist_2.11 # 0.6.1,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # jcl-over-slf4j # 1.7.21,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # jul-to-slf4j # 1.7.21,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.24,
